DATE,WM2NS
2019-03-25,14552.4
2019-04-01,14672.5
2019-04-08,14720.4
2019-04-15,14742.5
2019-04-22,14609.6
2019-04-29,14494.7
2019-05-06,14572.0
2019-05-13,14569.4
2019-05-20,14593.7
2019-05-27,14583.6
2019-06-03,14715.7
2019-06-10,14757.4
2019-06-17,14798.3
2019-06-24,14677.3
2019-07-01,14796.6
2019-07-08,14872.6
2019-07-15,14828.3
2019-07-22,14796.0
2019-07-29,14807.6
2019-08-05,14942.3
2019-08-12,14925.3
2019-08-19,14911.1
2019-08-26,14849.5
2019-09-02,14964.6
2019-09-09,15015.4
2019-09-16,15021.7
2019-09-23,14951.5
2019-09-30,15031.6
2019-10-07,15132.9
2019-10-14,15144.6
2019-10-21,15135.7
2019-10-28,15097.0
2019-11-04,15239.2
2019-11-11,15241.2
2019-11-18,15300.4
2019-11-25,15250.0
2019-12-02,15345.5
2019-12-09,15355.1
2019-12-16,15447.1
2019-12-23,15460.1
2019-12-30,15471.6
2020-01-06,15503.8
2020-01-13,15471.9
2020-01-20,15425.3
2020-01-27,15312.6
2020-02-03,15378.0
2020-02-10,15380.7
2020-02-17,15412.1
2020-02-24,15347.2
2020-03-02,15512.4
2020-03-09,15648.0
2020-03-16,15843.5
2020-03-23,16216.9
2020-03-30,16638.9
2020-04-06,16797.3
2020-04-13,16944.6
2020-04-20,17205.4
2020-04-27,17344.1
2020-05-04,17561.1
2020-05-11,17698.6
2020-05-18,17830.8
2020-05-25,17806.0
2020-06-01,17937.5
2020-06-08,18049.4
2020-06-15,18138.3
2020-06-22,18130.6
2020-06-29,18184.7
2020-07-06,18366.7
2020-07-13,18370.6
2020-07-20,18269.9
2020-07-27,18137.4
2020-08-03,18249.6
2020-08-10,18316.3
2020-08-17,18389.0
2020-08-24,18288.9
2020-08-31,18408.1
2020-09-07,18542.3
2020-09-14,18626.4
2020-09-21,18579.8
2020-09-28,18521.7
2020-10-05,18664.4
2020-10-12,18677.9
2020-10-19,18734.4
2020-10-26,18672.9
2020-11-02,18862.8
2020-11-09,18943.0
2020-11-16,19027.5
2020-11-23,19002.9
2020-11-30,19084.6
2020-12-07,19191.5
2020-12-14,19242.9
2020-12-21,19296.9
2020-12-28,19328.9
2021-01-04,19396.7
2021-01-11,19459.4
2021-01-18,19434.7
2021-01-25,19316.7
2021-02-01,19423.1
2021-02-08,19459.4
2021-02-15,19568.1
2021-02-22,19579.6
